searge,name
field_100013_f,isPotionDurationMax
field_104003_g,isAggressive
field_104057_T,isGamemodeForced
field_110150_bn,lastAttacker
field_110152_bk,newPosZ
field_110153_bc,lastDamage
field_110155_d,attributeMap
field_110156_b,sprintingSpeedBoostModifierUUID
field_110157_c,sprintingSpeedBoostModifier
field_110158_av,swingProgressInt
field_110168_bw,leashedToEntity
field_110169_bv,isLeashed
field_110170_bx,leashNBTTag
field_110178_bs,aiBase
field_110187_bq,babySpeedBoostUUID
field_110188_br,babySpeedBoostModifier
field_110192_bp,attackingSpeedBoostModifierUUID
field_110193_bq,attackingSpeedBoostModifier
field_110194_bu,lastEntityToAttack
field_110268_bz,horseTextures
field_110270_bw,horseArmorTextures
field_110271_bv,horseJumpStrength
field_110272_by,armorValues
field_110274_bs,temper
field_110275_br,horseJumping
field_110276_bu,horseBreedingSelector
field_110277_bt,jumpPower
field_110281_bL,rearingAmount
field_110282_bM,prevRearingAmount
field_110283_bJ,headLean
field_110284_bK,prevHeadLean
field_110285_bP,gallopTime
field_110287_bN,mouthOpenness
field_110288_bO,prevMouthOpenness
field_110289_bD,eatingHaystackCounter
field_110290_bE,openMouthCounter
field_110291_bB,horseMarkingTextures
field_110293_bH,hasReproduced
field_110295_bF,jumpRearingCounter
field_110296_bG,horseChest
field_110312_d,locationSkin
field_110313_e,locationCape
field_110314_b,locationStevePng
field_110320_a,horseJumpPowerCounter
field_110321_bQ,horseJumpPower
field_110323_l,statIcons
field_110324_m,icons
field_110325_k,optionsBackground
field_110328_d,pumpkinBlurTexPath
field_110329_b,vignetteTexPath
field_110330_c,widgetsTexPath
field_110352_y,minecraftTitleTextures
field_110353_x,splashTexts
field_110444_H,locationMojangPng
field_110445_I,macDisplayModes
field_110446_Y,fileAssets
field_110447_Z,launchedVersion
field_110448_aq,mcResourcePackRepository
field_110449_ao,defaultResourcePacks
field_110450_ap,mcDefaultResourcePack
field_110451_am,mcResourceManager
field_110452_an,metadataSerializer_
field_110453_aa,proxy
field_110456_c,serverProxy
field_110463_b,packFormat
field_110464_a,packDescription
field_110465_b,charLefts
field_110466_c,charSpacings
field_110467_a,charWidths
field_110475_d,frameTime
field_110476_b,frameWidth
field_110477_c,frameHeight
field_110478_a,animationFrames
field_110481_b,textureClamp
field_110482_a,textureBlur
field_110498_b,frameTime
field_110499_a,frameIndex
field_110506_b,gsonBuilder
field_110507_c,gson
field_110508_a,metadataSectionSerializerRegistry
field_110520_f,locationTexturePackIcon
field_110521_d,rePackMetadataSection
field_110522_e,texturePackIcon
field_110523_b,resourcePackFile
field_110524_c,reResourcePack
field_110529_f,mcmetaJsonChecked
field_110530_g,mcmetaJson
field_110531_d,mcmetaInputStream
field_110532_e,srMetadataSerializer
field_110533_b,srResourceLocation
field_110534_c,resourceInputStream
field_110535_a,mapMetadataSections
field_110539_b,frmMetadataSerializer
field_110540_a,resourcePacks
field_110546_b,reloadListeners
field_110547_c,rmMetadataSerializer
field_110548_a,domainResourceManagers
field_110553_a,glTextureId
field_110559_g,textureUploaded
field_110560_d,bufferedImage
field_110561_e,imageThread
field_110562_b,imageUrl
field_110563_c,imageBuffer
field_110566_b,dynamicTextureData
field_110567_b,layeredTextureNames
field_110568_b,textureLocation
field_110574_e,mapRegisteredSprites
field_110575_b,locationBlocksTexture
field_110576_c,locationItemsTexture
field_110582_d,theResourceManager
field_110583_b,listTickables
field_110584_c,mapTextureCounters
field_110585_a,mapTextureObjects
field_110597_b,resourcePackFile
field_110598_a,resourceLog
field_110600_d,resourcePackZipFile
field_110601_c,entryNameSplitter
field_110608_a,defaultResourceDomains
field_110617_f,repositoryEntries
field_110618_d,dirResourcepacks
field_110619_e,repositoryEntriesAll
field_110620_b,rprDefaultResourcePack
field_110621_c,rprMetadataSerializer
field_110622_a,resourcePackFilter
field_110625_b,resourcePath
field_110626_a,resourceDomain
field_110684_D,frontRightLeg
field_110685_E,frontRightShin
field_110686_F,frontRightHoof
field_110687_G,muleLeftChest
field_110688_A,frontLeftLeg
field_110689_B,frontLeftShin
field_110690_C,frontLeftHoof
field_110691_L,horseLeftSaddleRope
field_110692_M,horseLeftSaddleMetal
field_110693_N,horseRightSaddleRope
field_110694_O,horseRightSaddleMetal
field_110695_H,muleRightChest
field_110696_I,horseSaddleBottom
field_110697_J,horseSaddleFront
field_110698_K,horseSaddleBack
field_110699_Q,horseRightFaceMetal
field_110700_P,horseLeftFaceMetal
field_110701_S,horseRightRein
field_110702_R,horseLeftRein
field_110703_f,muleLeftEar
field_110704_g,muleRightEar
field_110705_d,horseLeftEar
field_110706_e,horseRightEar
field_110707_b,mouthTop
field_110708_c,mouthBottom
field_110709_a,head
field_110710_n,tailTip
field_110711_o,backLeftLeg
field_110712_l,tailBase
field_110713_m,tailMiddle
field_110714_j,mane
field_110715_k,body
field_110716_h,neck
field_110717_i,horseFaceRopes
field_110718_w,backLeftHoof
field_110719_v,backLeftShin
field_110720_z,backRightHoof
field_110721_y,backRightShin
field_110722_x,backRightLeg
field_110737_b,particleTextures
field_110778_a,shadowTextures
field_110780_a,arrowTextures
field_110782_f,boatTextures
field_110785_a,experienceOrbTextures
field_110787_a,enderCrystalTextures
field_110789_a,mapBackgroundTextures
field_110798_h,RES_ITEM_GLINT
field_110801_f,leashKnotModel
field_110802_a,leashKnotTextures
field_110804_g,minecartTextures
field_110810_f,witherTextures
field_110811_a,invulnerableWitherTextures
field_110814_a,RES_ITEM_GLINT
field_110826_a,steveTextures
field_110830_f,creeperTextures
field_110831_a,armoredCreeperTextures
field_110833_a,cowTextures
field_110835_a,batTextures
field_110837_a,blazeTextures
field_110839_f,endermanTextures
field_110840_a,endermanEyesTexture
field_110842_f,enderDragonExplodingTextures
field_110843_g,enderDragonCrystalBeamTextures
field_110844_k,enderDragonTextures
field_110845_h,enderDragonEyesTextures
field_110850_f,whiteHorseTextures
field_110851_g,muleTextures
field_110853_l,skeletonHorseTextures
field_110854_k,zombieHorseTextures
field_110855_h,donkeyTextures
field_110861_l,witherSkeletonTextures
field_110862_k,skeletonTextures
field_110864_q,zombieVillagerTextures
field_110865_p,zombieTextures
field_110866_o,zombiePigmanTextures
field_110868_f,ghastShootingTextures
field_110869_a,ghastTextures
field_110871_a,zombieTextures
field_110873_a,magmaCubeTextures
field_110875_f,ocelotTextures
field_110876_g,redOcelotTextures
field_110877_a,blackOcelotTextures
field_110878_h,siameseOcelotTextures
field_110880_a,mooshroomTextures
field_110882_a,silverfishTextures
field_110884_f,shearedSheepTextures
field_110885_a,sheepTextures
field_110887_f,pigTextures
field_110888_a,saddledPigTextures
field_110890_f,spiderTextures
field_110891_a,spiderEyesTextures
field_110893_a,caveSpiderTextures
field_110895_a,snowManTextures
field_110897_a,slimeTextures
field_110899_a,ironGolemTextures
field_110901_a,squidTextures
field_110903_f,villagerTextures
field_110904_g,farmerVillagerTextures
field_110905_l,smithVillagerTextures
field_110906_m,butcherVillagerTextures
field_110907_k,priestVillagerTextures
field_110908_h,librarianVillagerTextures
field_110910_a,witchTextures
field_110912_f,witherTextures
field_110913_a,invulnerableWitherTextures
field_110915_f,tamedWolfTextures
field_110916_g,anrgyWolfTextures
field_110917_a,wolfTextures
field_110918_h,wolfCollarTextures
field_110920_a,chickenTextures
field_110922_T,locationLightMap
